Run,horizonMSE,positionMSE,velocityMSE,totalMSE,finalMaxError,triggerRate,ffAcceptanceRate,lfAcceptanceRate,ffFalseRejectionRate,lfFalseRejectionRate,ffLeakageRate,lfLeakageRate,maxCouplingGain,cpuTime
1,0.912771962443157,2.54826781251736e-05,3.08343929943405e-05,5.63170711195142e-05,0.00254501582460699,0.0915903413821815,0.877631578947368,0.919087136929461,0.00597014925373134,0,0.0111111111111111,0,7.03290138770065,0.3831663
2,0.494832095193162,1.76646551064404e-05,2.14151810022797e-05,3.90798361087201e-05,0.00590482372498513,0.0636969192339717,0.915289256198347,0.924619640387275,0,0,0,0,6.0158878995966,0.360326
3,0.670857454612543,1.47962589998821e-05,2.46622238394791e-05,3.94584828393612e-05,0.00444413799660559,0.0847904524007771,0.897435897435897,0.917704011065007,0,0,0,0,7.03579406735692,0.3434371
4,0.810413281161214,1.84395188369819e-05,2.88737527272428e-05,4.73132715642247e-05,0.00499155384330618,0.0967249514293644,0.899346405228758,0.908713692946058,0,0,0,0,8.61374234128481,0.3554011
5,0.362824059922342,1.04054946665907e-05,2.00896472086983e-05,3.0495141875289e-05,0.00443683331260204,0.0710519011934499,0.88734835355286,0.921853388658368,0,0,0,0,6.97413721249851,0.3344487
6,0.5568055191576,6.62839375310792e-06,2.59008530593079e-05,3.25292468124158e-05,0.00381184618501522,0.0759089647515959,0.921259842519685,0.926002766251729,0,0,0,0,7.53055958593322,0.4243278
7,0.510488000923035,1.92142495971816e-05,3.57316926837014e-05,5.4945942280883e-05,0.00488649965722487,0.0616153205661948,0.904761904761905,0.923928077455048,0,0,0,0,5.18190332073356,0.3548067
8,0.440793499951167,3.49200558729175e-05,2.40205947432624e-05,5.89406506161799e-05,0.00286815779841909,0.0714682209270053,0.895330112721417,0.922544951590595,0,0,0,0,5.71402874912553,0.3358249
9,0.619247919225117,1.38751686578692e-05,2.32987094042301e-05,3.71738780620993e-05,0.00386118870647112,0.0827088537330003,0.911966987620358,0.916320885200553,0,0,0,0,6.68047867311118,0.3270474
10,0.725176919112524,1.27912911170199e-05,2.53982933185226e-05,3.81895844355425e-05,0.00402282269726042,0.0838190396891479,0.908831908831909,0.919087136929461,0,0,0,0,7.4301510835891,0.3398828
11,0.520341045160116,1.44431421472433e-05,2.42149328037368e-05,3.86580749509801e-05,0.00417532659183081,0.0678601165695254,0.901234567901235,0.915629322268326,0,0,0,0,5.40714259581217,0.3328969
12,0.969022321430341,3.36607345203562e-05,2.92014488766551e-05,6.28621833970113e-05,0.00727156580463029,0.0753538717735221,0.897125567322239,0.927385892116183,0,0,0,0,6.66179475051779,0.3588251
13,0.687273070507799,1.00452914864467e-05,2.109651817065e-05,3.11418096570967e-05,0.00459982450362503,0.0725784068831529,0.893890675241158,0.919778699861687,0,0,0,0,5.87967849941905,0.34219
14,0.588524068868131,1.60038879504161e-05,1.8791502202375e-05,3.47953901527911e-05,0.00491450086441214,0.0706355814598945,0.876611418047882,0.927385892116183,0,0,0,0,7.11575719162594,0.3270793
15,0.580583415831546,2.29822121298179e-05,2.87335432512299e-05,5.17157553810477e-05,0.00467683197402623,0.0825700804884818,0.893430656934307,0.925311203319502,0,0,0,0,7.83578101244851,0.3186403
16,0.871665091838367,1.70880218739809e-05,3.18929388532691e-05,4.898096072725e-05,0.00619404719785166,0.0838190396891479,0.902866242038217,0.915629322268326,0,0,0.0161290322580645,0,7.13964678680126,0.3231752
17,0.539209688626748,2.10715128611202e-05,2.83768011710145e-05,4.94483140321347e-05,0.00389571578697475,0.065917291146267,0.898608349900596,0.912863070539419,0,0,0,0,6.32077075472879,0.333651
18,1.08331671238873,4.69465251955633e-05,3.06174498789146e-05,7.75639750744779e-05,0.00918196655860914,0.0774354704412989,0.908396946564885,0.934301521438451,0,0,0,0,6.62304797130566,0.3217631
19,0.892394487535434,1.70482313389121e-05,2.42434514193347e-05,4.12916827582468e-05,0.00644268693331121,0.0847904524007771,0.889502762430939,0.921161825726141,0,0,0,0,8.6673171978752,0.3597344
20,0.458905933121025,1.17302146081067e-05,2.40201972241689e-05,3.57504118322756e-05,0.00297232667748685,0.0775742436858174,0.889561270801815,0.90179806362379,0,0,0,0,8.29341947073245,0.3294217
21,0.647247922661217,2.21230738822092e-05,2.92999708256574e-05,5.14230447078666e-05,0.00351945658798914,0.0829864002220372,0.885328836424958,0.921161825726141,0,0,0,0,8.47881801950438,0.323885
22,0.878751464302105,3.23434608113853e-05,2.69065418773707e-05,5.9250002688756e-05,0.00525443022611323,0.0831251734665557,0.897470039946738,0.923236514522822,0,0,0,0,7.75434627785797,0.323074
23,1.11849169418839,0.613039747381043,3.54554846046961e-05,0.613075202865648,1.85765728092152,0.0710519011934499,0.754045307443366,0.919778699861687,0.157323688969259,0,0,0,6.02703285571593,0.3369184
24,0.788198800644153,3.02116222498173e-05,3.55012702933803e-05,6.57128925431976e-05,0.00515617328103498,0.078684429641965,0.883445945945946,0.928769017980636,0,0,0,0,7.93013191872165,0.3303924
25,0.899773947846083,3.72953209202e-05,3.0704388239391e-05,6.7999709159591e-05,0.00378411598676236,0.0849292256452956,0.912448700410397,0.911479944674965,0,0,0,0,7.94211077750883,0.3595261
26,0.753137658402663,2.97033793549269e-05,2.57570783103376e-05,5.54604576652645e-05,0.00369105477498222,0.0799333888426311,0.931087289433384,0.907330567081604,0,0,0,0,6.98505165276454,0.3370397
